"model","Factor","Relativity","Std_Error","P_Value","CI_Lower","CI_Upper","Z_Value"
"Frequency (Poisson)","(Intercept)",0.0694,0.0344,0,0.0648,0.0742,-77.6315
"Frequency (Poisson)","drv_age_band18-22",1.4069,0.0374,0,1.3075,1.5139,9.1283
"Frequency (Poisson)","drv_age_band23-26",0.9589,0.0318,0.1869,0.901,1.0205,-1.3199
"Frequency (Poisson)","drv_age_band27-30",0.8442,0.028,0,0.7991,0.8919,-6.0417
"Frequency (Poisson)","drv_age_band41-50",1.3723,0.019,0,1.3221,1.4243,16.6608
"Frequency (Poisson)","drv_age_band51-60",1.2876,0.0204,0,1.2373,1.34,12.4168
"Frequency (Poisson)","drv_age_band61-70",1.2631,0.0251,0,1.2024,1.3268,9.3052
"Frequency (Poisson)","drv_age_band71+",1.3573,0.0283,0,1.2841,1.4347,10.797
"Frequency (Poisson)","veh_age_band0-1",2.0255,0.0213,0,1.9426,2.1118,33.1182
"Frequency (Poisson)","veh_age_band2-3",1.1474,0.0226,0,1.0977,1.1992,6.0933
"Frequency (Poisson)","veh_age_band4-6",1.2581,0.0201,0,1.2095,1.3087,11.4156
"Frequency (Poisson)","veh_age_band7-10",1.2651,0.0189,0,1.2191,1.3129,12.4399
"Frequency (Poisson)","veh_power_band4-5",0.947,0.0146,2e-04,0.9203,0.9744,-3.7343
"Frequency (Poisson)","veh_power_band8-9",0.9342,0.0223,0.0023,0.8942,0.9759,-3.0516
"Frequency (Poisson)","veh_power_band10-11",1.0449,0.0259,0.0898,0.9932,1.0992,1.6965
"Frequency (Poisson)","veh_power_band12+",0.8886,0.0456,0.0097,0.8126,0.9718,-2.5876
"Frequency (Poisson)","bm_band55-60",1.4949,0.0246,0,1.4244,1.5689,16.3162
"Frequency (Poisson)","bm_band61-70",1.9727,0.0223,0,1.8884,2.0608,30.4909
"Frequency (Poisson)","bm_band71-80",1.9228,0.0239,0,1.8348,2.0149,27.3657
"Frequency (Poisson)","bm_band81-100",2.4942,0.0225,0,2.3864,2.6069,40.5522
"Frequency (Poisson)","bm_band101-120",4.7743,0.043,0,4.3885,5.194,36.3632
"Frequency (Poisson)","bm_band121-150",6.5519,0.0609,0,5.8143,7.3831,30.8476
"Frequency (Poisson)","bm_band151+",8.7906,0.1532,0,6.5099,11.8701,14.1849
"Frequency (Poisson)","veh_fuelDiesel",0.9311,0.0133,0,0.9071,0.9557,-5.3614
"Frequency (Poisson)","density_bandQ1 Rural",0.8258,0.0212,0,0.7922,0.8608,-9.0371
"Frequency (Poisson)","density_bandQ2",0.8775,0.0203,0,0.8432,0.9131,-6.4353
"Frequency (Poisson)","density_bandQ3",0.8963,0.0199,0,0.862,0.9321,-5.4883
"Frequency (Poisson)","density_bandQ5 Urban",1.0184,0.0202,0.3683,0.9788,1.0596,0.8996
"Frequency (Poisson)","veh_brandB1",0.8458,0.0217,0,0.8106,0.8825,-7.7207
"Frequency (Poisson)","veh_brandB10",0.8704,0.0448,0.002,0.7972,0.9503,-3.097
"Frequency (Poisson)","veh_brandB11",0.9346,0.0478,0.1571,0.8511,1.0264,-1.4147
"Frequency (Poisson)","veh_brandB13",0.8899,0.0498,0.0191,0.8071,0.9811,-2.3439
"Frequency (Poisson)","veh_brandB14",0.7029,0.0952,2e-04,0.5833,0.8471,-3.7026
"Frequency (Poisson)","veh_brandB2",0.8493,0.0217,0,0.814,0.8861,-7.5423
"Frequency (Poisson)","veh_brandB3",0.8668,0.0278,0,0.8208,0.9153,-5.1398
"Frequency (Poisson)","veh_brandB4",0.8321,0.0371,0,0.7738,0.8949,-4.9558
"Frequency (Poisson)","veh_brandB5",0.9071,0.0318,0.0022,0.8522,0.9656,-3.0606
